service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20220527,20220610
2,0,0,0,0,0,0,0,20220528,20220611
3,0,0,0,0,0,0,0,20220526,20220606
4,0,0,0,0,0,0,0,20220605,20220605
5,0,0,0,0,0,0,0,20220527,20220610
6,0,0,0,0,0,0,0,20220613,20220812
7,0,0,0,0,0,0,0,20220617,20220812
8,0,0,0,0,0,0,0,20220612,20220807
9,0,0,0,0,0,0,0,20220618,20220813
10,0,0,0,0,0,0,0,20220625,20220625
11,0,0,0,0,0,0,0,20220612,20220813
12,0,0,0,0,0,0,0,20220518,20220525
13,0,0,0,0,0,0,0,20220520,20220520
14,0,0,0,0,0,0,0,20220521,20220521
15,0,0,0,0,0,0,0,20220522,20220522
16,0,0,0,0,0,0,0,20220612,20220812
17,0,0,0,0,0,0,0,20220518,20220610
18,0,0,0,0,0,0,0,20220521,20220611
19,0,0,0,0,0,0,0,20220522,20220606
20,0,0,0,0,0,0,0,20220520,20220610
21,0,0,0,0,0,0,0,20220521,20220611
22,0,0,0,0,0,0,0,20220605,20220606
23,0,0,0,0,0,0,0,20220604,20220611
24,0,0,0,0,0,0,0,20220607,20220610
25,0,0,0,0,0,0,0,20220610,20220610
26,0,0,0,0,0,0,0,20220604,20220611
27,0,0,0,0,0,0,0,20220605,20220610
28,0,0,0,0,0,0,0,20220518,20220603
29,0,0,0,0,0,0,0,20220520,20220603
30,0,0,0,0,0,0,0,20220518,20220603
31,0,0,0,0,0,0,0,20220521,20220528
32,0,0,0,0,0,0,0,20220522,20220529
33,0,0,0,0,0,0,0,20220518,20220603
34,0,0,0,0,0,0,0,20220521,20220813
35,0,0,0,0,0,0,0,20220521,20220813
36,0,0,0,0,0,0,0,20220521,20220813
37,0,0,0,0,0,0,0,20220521,20220813
38,0,0,0,0,0,0,0,20220612,20220813
39,0,0,0,0,0,0,0,20220604,20220611
40,0,0,0,0,0,0,0,20220521,20220529
41,0,0,0,0,0,0,0,20220518,20220812
42,0,0,0,0,0,0,0,20220613,20220813
43,0,0,0,0,0,0,0,20220526,20220611
44,0,0,0,0,0,0,0,20220521,20220522
45,0,0,0,0,0,0,0,20220518,20220611
46,0,0,0,0,0,0,0,20220518,20220611
47,0,0,0,0,0,0,0,20220518,20220610
48,0,0,0,0,0,0,0,20220518,20220813
49,0,0,0,0,0,0,0,20220521,20220813
50,0,0,0,0,0,0,0,20220522,20220807
51,0,0,0,0,0,0,0,20220518,20220520
52,0,0,0,0,0,0,0,20220518,20220812
53,0,0,0,0,0,0,0,20220523,20220610
54,0,0,0,0,0,0,0,20220527,20220527
55,0,0,0,0,0,0,0,20220521,20220813
56,0,0,0,0,0,0,0,20220526,20220611
57,0,0,0,0,0,0,0,20220518,20220525
58,0,0,0,0,0,0,0,20220518,20220610
59,0,0,0,0,0,0,0,20220518,20220812
60,0,0,0,0,0,0,0,20220520,20220813
61,0,0,0,0,0,0,0,20220518,20220603
62,0,0,0,0,0,0,0,20220518,20220603
63,0,0,0,0,0,0,0,20220604,20220611
64,0,0,0,0,0,0,0,20220613,20220831
65,0,0,0,0,0,0,0,20220521,20220828
66,0,0,0,0,0,0,0,20220521,20220812
67,0,0,0,0,0,0,0,20220518,20220813
68,0,0,0,0,0,0,0,20220520,20220610
69,0,0,0,0,0,0,0,20220521,20220813
70,0,0,0,0,0,0,0,20220518,20220519
71,0,0,0,0,0,0,0,20220520,20220610
72,0,0,0,0,0,0,0,20220518,20220813
73,0,0,0,0,0,0,0,20220518,20220518
74,0,0,0,0,0,0,0,20220519,20220610
75,0,0,0,0,0,0,0,20220617,20220813
76,0,0,0,0,0,0,0,20220518,20220609
77,0,0,0,0,0,0,0,20220613,20220811
78,0,0,0,0,0,0,0,20220518,20220811
79,0,0,0,0,0,0,0,20220518,20220813
80,0,0,0,0,0,0,0,20220518,20220608
81,0,0,0,0,0,0,0,20220519,20220610
82,0,0,0,0,0,0,0,20220527,20220528
83,0,0,0,0,0,0,0,20220528,20220528
84,0,0,0,0,0,0,0,20220518,20220813
85,0,0,0,0,0,0,0,20220518,20220813
86,0,0,0,0,0,0,0,20220522,20220807
87,0,0,0,0,0,0,0,20220518,20220610
88,0,0,0,0,0,0,0,20220519,20220609
89,0,0,0,0,0,0,0,20220521,20220807
90,0,0,0,0,0,0,0,20220518,20220812
91,0,0,0,0,0,0,0,20220518,20220807
92,0,0,0,0,0,0,0,20220518,20220813
93,0,0,0,0,0,0,0,20220518,20220807
94,0,0,0,0,0,0,0,20220518,20220608
95,0,0,0,0,0,0,0,20220519,20220610
96,0,0,0,0,0,0,0,20220627,20220807
97,0,0,0,0,0,0,0,20220612,20220813
98,0,0,0,0,0,0,0,20220613,20220701
99,0,0,0,0,0,0,0,20220612,20220703
100,0,0,0,0,0,0,0,20220612,20220703
101,0,0,0,0,0,0,0,20220618,20220813
102,0,0,0,0,0,0,0,20220709,20220813
103,0,0,0,0,0,0,0,20220704,20220812
104,0,0,0,0,0,0,0,20220518,20220812
105,0,0,0,0,0,0,0,20220521,20220813
106,0,0,0,0,0,0,0,20220521,20220813
107,0,0,0,0,0,0,0,20220521,20220813
108,0,0,0,0,0,0,0,20220612,20220807
109,0,0,0,0,0,0,0,20220520,20220812
110,0,0,0,0,0,0,0,20220521,20220529
111,0,0,0,0,0,0,0,20220522,20220812
112,0,0,0,0,0,0,0,20220518,20220813
113,0,0,0,0,0,0,0,20220518,20220807
114,0,0,0,0,0,0,0,20220518,20220813
115,0,0,0,0,0,0,0,20220522,20220813
116,0,0,0,0,0,0,0,20220625,20220814
117,0,0,0,0,0,0,0,20220518,20220814
118,0,0,0,0,0,0,0,20220627,20220813
119,0,0,0,0,0,0,0,20220702,20220813
120,0,0,0,0,0,0,0,20220625,20220814
121,0,0,0,0,0,0,0,20220627,20220812
122,0,0,0,0,0,0,0,20220518,20220623
123,0,0,0,0,0,0,0,20220518,20220624
124,0,0,0,0,0,0,0,20220518,20220623
125,0,0,0,0,0,0,0,20220521,20220624
126,0,0,0,0,0,0,0,20220625,20220814
127,0,0,0,0,0,0,0,20220604,20220605
128,0,0,0,0,0,0,0,20220518,20221210
129,0,0,0,0,0,0,0,20220521,20221210
130,0,0,0,0,0,0,0,20220520,20221210
131,0,0,0,0,0,0,0,20220518,20221210
132,0,0,0,0,0,0,0,20221105,20221105
133,0,0,0,0,0,0,0,20220522,20221204
134,0,0,0,0,0,0,0,20220518,20221210
135,0,0,0,0,0,0,0,20220521,20221210
136,0,0,0,0,0,0,0,20220518,20221208
137,0,0,0,0,0,0,0,20220518,20221210
138,0,0,0,0,0,0,0,20220518,20221209
139,0,0,0,0,0,0,0,20220521,20221210
140,0,0,0,0,0,0,0,20220520,20221210
141,0,0,0,0,0,0,0,20220619,20220619
142,0,0,0,0,0,0,0,20220522,20220619
143,0,0,0,0,0,0,0,20220522,20220524
144,0,0,0,0,0,0,0,20220620,20220623
145,0,0,0,0,0,0,0,20220520,20221210
146,0,0,0,0,0,0,0,20220520,20221209
147,0,0,0,0,0,0,0,20220521,20221210
148,0,0,0,0,0,0,0,20220521,20221210
149,0,0,0,0,0,0,0,20220526,20221204
150,0,0,0,0,0,0,0,20220518,20220623
151,0,0,0,0,0,0,0,20220518,20220623
152,0,0,0,0,0,0,0,20220518,20220623
153,0,0,0,0,0,0,0,20220527,20220623
154,0,0,0,0,0,0,0,20220522,20220623
155,0,0,0,0,0,0,0,20220522,20220619
156,0,0,0,0,0,0,0,20220528,20220604
157,0,0,0,0,0,0,0,20220518,20220623
158,0,0,0,0,0,0,0,20220522,20220619
159,0,0,0,0,0,0,0,20220522,20220619
160,0,0,0,0,0,0,0,20220604,20220604
161,0,0,0,0,0,0,0,20220614,20220617
162,0,0,0,0,0,0,0,20220612,20220612
163,0,0,0,0,0,0,0,20220518,20221210
164,0,0,0,0,0,0,0,20220521,20221210
165,0,0,0,0,0,0,0,20220521,20221210
166,0,0,0,0,0,0,0,20220518,20221210
167,0,0,0,0,0,0,0,20220526,20221204
