service_id,date,exception_type
1,20220527,1
1,20220530,1
1,20220531,1
1,20220601,1
1,20220602,1
1,20220603,1
1,20220607,1
1,20220608,1
1,20220609,1
1,20220610,1
2,20220528,1
2,20220604,1
2,20220611,1
3,20220526,1
3,20220529,1
3,20220605,1
3,20220606,1
4,20220605,1
5,20220527,1
5,20220603,1
5,20220610,1
6,20220613,1
6,20220614,1
6,20220615,1
6,20220616,1
6,20220617,1
6,20220620,1
6,20220621,1
6,20220622,1
6,20220623,1
6,20220627,1
6,20220628,1
6,20220629,1
6,20220630,1
6,20220701,1
6,20220704,1
6,20220705,1
6,20220706,1
6,20220707,1
6,20220708,1
6,20220711,1
6,20220712,1
6,20220713,1
6,20220714,1
6,20220715,1
6,20220718,1
6,20220719,1
6,20220720,1
6,20220721,1
6,20220722,1
6,20220725,1
6,20220726,1
6,20220727,1
6,20220728,1
6,20220729,1
6,20220801,1
6,20220802,1
6,20220803,1
6,20220804,1
6,20220805,1
6,20220808,1
6,20220809,1
6,20220810,1
6,20220811,1
6,20220812,1
7,20220617,1
7,20220701,1
7,20220708,1
7,20220715,1
7,20220722,1
7,20220729,1
7,20220805,1
7,20220812,1
8,20220612,1
8,20220619,1
8,20220625,1
8,20220626,1
8,20220703,1
8,20220710,1
8,20220717,1
8,20220724,1
8,20220731,1
8,20220807,1
9,20220618,1
9,20220624,1
9,20220702,1
9,20220709,1
9,20220716,1
9,20220723,1
9,20220730,1
9,20220806,1
9,20220813,1
10,20220625,1
11,20220612,1
11,20220618,1
11,20220619,1
11,20220624,1
11,20220625,1
11,20220626,1
11,20220702,1
11,20220703,1
11,20220709,1
11,20220710,1
11,20220716,1
11,20220717,1
11,20220723,1
11,20220724,1
11,20220730,1
11,20220731,1
11,20220806,1
11,20220807,1
11,20220813,1
12,20220518,1
12,20220519,1
12,20220520,1
12,20220523,1
12,20220524,1
12,20220525,1
13,20220520,1
14,20220521,1
15,20220522,1
16,20220612,1
16,20220613,1
16,20220614,1
16,20220615,1
16,20220616,1
16,20220617,1
16,20220619,1
16,20220620,1
16,20220621,1
16,20220622,1
16,20220623,1
16,20220625,1
16,20220626,1
16,20220627,1
16,20220628,1
16,20220629,1
16,20220630,1
16,20220701,1
16,20220703,1
16,20220704,1
16,20220705,1
16,20220706,1
16,20220707,1
16,20220708,1
16,20220710,1
16,20220711,1
16,20220712,1
16,20220713,1
16,20220714,1
16,20220715,1
16,20220717,1
16,20220718,1
16,20220719,1
16,20220720,1
16,20220721,1
16,20220722,1
16,20220724,1
16,20220725,1
16,20220726,1
16,20220727,1
16,20220728,1
16,20220729,1
16,20220731,1
16,20220801,1
16,20220802,1
16,20220803,1
16,20220804,1
16,20220805,1
16,20220807,1
16,20220808,1
16,20220809,1
16,20220810,1
16,20220811,1
16,20220812,1
17,20220518,1
17,20220519,1
17,20220520,1
17,20220523,1
17,20220524,1
17,20220525,1
17,20220527,1
17,20220530,1
17,20220531,1
17,20220601,1
17,20220602,1
17,20220603,1
17,20220607,1
17,20220608,1
17,20220609,1
17,20220610,1
18,20220521,1
18,20220528,1
18,20220604,1
18,20220611,1
19,20220522,1
19,20220526,1
19,20220529,1
19,20220605,1
19,20220606,1
20,20220520,1
20,20220527,1
20,20220603,1
20,20220610,1
21,20220521,1
21,20220522,1
21,20220526,1
21,20220528,1
21,20220529,1
21,20220604,1
21,20220605,1
21,20220606,1
21,20220611,1
22,20220605,1
22,20220606,1
23,20220604,1
23,20220611,1
24,20220607,1
24,20220608,1
24,20220609,1
24,20220610,1
25,20220610,1
26,20220604,1
26,20220607,1
26,20220608,1
26,20220609,1
26,20220610,1
26,20220611,1
27,20220605,1
27,20220606,1
27,20220607,1
27,20220608,1
27,20220609,1
27,20220610,1
28,20220518,1
28,20220519,1
28,20220520,1
28,20220523,1
28,20220524,1
28,20220525,1
28,20220527,1
28,20220530,1
28,20220531,1
28,20220601,1
28,20220602,1
28,20220603,1
29,20220520,1
29,20220527,1
29,20220603,1
30,20220518,1
30,20220519,1
30,20220520,1
30,20220521,1
30,20220523,1
30,20220524,1
30,20220525,1
30,20220527,1
30,20220528,1
30,20220530,1
30,20220531,1
30,20220601,1
30,20220602,1
30,20220603,1
31,20220521,1
31,20220528,1
32,20220522,1
32,20220526,1
32,20220529,1
33,20220518,1
33,20220519,1
33,20220520,1
33,20220522,1
33,20220523,1
33,20220524,1
33,20220525,1
33,20220526,1
33,20220527,1
33,20220529,1
33,20220530,1
33,20220531,1
33,20220601,1
33,20220602,1
33,20220603,1
34,20220521,1
34,20220522,1
34,20220526,1
34,20220528,1
34,20220529,1
34,20220604,1
34,20220605,1
34,20220606,1
34,20220611,1
34,20220612,1
34,20220613,1
34,20220614,1
34,20220615,1
34,20220616,1
34,20220617,1
34,20220618,1
34,20220619,1
34,20220620,1
34,20220621,1
34,20220622,1
34,20220623,1
34,20220624,1
34,20220625,1
34,20220626,1
34,20220627,1
34,20220628,1
34,20220629,1
34,20220630,1
34,20220701,1
34,20220702,1
34,20220703,1
34,20220704,1
34,20220705,1
34,20220706,1
34,20220707,1
34,20220708,1
34,20220709,1
34,20220710,1
34,20220711,1
34,20220712,1
34,20220713,1
34,20220714,1
34,20220715,1
34,20220716,1
34,20220717,1
34,20220718,1
34,20220719,1
34,20220720,1
34,20220721,1
34,20220722,1
34,20220723,1
34,20220724,1
34,20220725,1
34,20220726,1
34,20220727,1
34,20220728,1
34,20220729,1
34,20220730,1
34,20220731,1
34,20220801,1
34,20220802,1
34,20220803,1
34,20220804,1
34,20220805,1
34,20220806,1
34,20220807,1
34,20220808,1
34,20220809,1
34,20220810,1
34,20220811,1
34,20220812,1
34,20220813,1
35,20220521,1
35,20220528,1
35,20220604,1
35,20220611,1
35,20220613,1
35,20220614,1
35,20220615,1
35,20220616,1
35,20220617,1
35,20220618,1
35,20220620,1
35,20220621,1
35,20220622,1
35,20220623,1
35,20220624,1
35,20220627,1
35,20220628,1
35,20220629,1
35,20220630,1
35,20220701,1
35,20220702,1
35,20220704,1
35,20220705,1
35,20220706,1
35,20220707,1
35,20220708,1
35,20220709,1
35,20220711,1
35,20220712,1
35,20220713,1
35,20220714,1
35,20220715,1
35,20220716,1
35,20220718,1
35,20220719,1
35,20220720,1
35,20220721,1
35,20220722,1
35,20220723,1
35,20220725,1
35,20220726,1
35,20220727,1
35,20220728,1
35,20220729,1
35,20220730,1
35,20220801,1
35,20220802,1
35,20220803,1
35,20220804,1
35,20220805,1
35,20220806,1
35,20220808,1
35,20220809,1
35,20220810,1
35,20220811,1
35,20220812,1
35,20220813,1
36,20220521,1
36,20220528,1
36,20220604,1
36,20220611,1
36,20220618,1
36,20220624,1
36,20220702,1
36,20220709,1
36,20220716,1
36,20220723,1
36,20220730,1
